drug_set_id,ds_version,plate_date,plate_id,scan_id,format,assay,cell_line_name,cell_id,drug_id,maxConc,maxConcPos,IC_ID,IC_50_EST,IC_50_LOW,IC_50_HIGH,AUC
730,d,22-Aug-13,65744,78449,17,a,RCM-1,2019,1218,1,306,1756575,-0.653021,-1.047893,-0.16297,0.816922
730,d,22-Aug-13,65744,78449,17,a,RCM-1,2019,1241,10,354,1756576,3.903048,2.394363,6.885454,0.867944
730,d,22-Aug-13,65744,78449,17,a,RCM-1,2019,1242,10,56,1756577,-0.455248,-0.853209,-0.046873,0.556513
730,d,22-Aug-13,65744,78449,17,a,RCM-1,2019,1268,5,258,1756578,5.864433,3.218496,10.084923,0.994083
730,d,22-Aug-13,65744,78449,17,a,RCM-1,2019,1372,1,301,1756579,-5.609169,-6.363355,-4.97406,0.459259
730,d,22-Aug-13,65744,78449,17,a,RCM-1,2019,1373,10,330,1756580,2.845583,1.964756,4.266548,0.854871
730,d,22-Aug-13,65744,78449,17,a,RCM-1,2019,1374,1,162,1756581,-4.426005,-4.805403,-4.045306,0.38782
730,d,22-Aug-13,65744,78449,17,a,RCM-1,2019,1549,5,66,1756582,2.899912,1.588841,5.348634,0.871219
730,d,22-Aug-13,65744,78449,17,a,RCM-1,2019,4000,1,186,1756583,4.467001,1.69442,8.899617,0.994916
730,f,08-Oct-13,68124,81386,17,a,SW1116,2164,1001,2000,27,1881992,8.426854,7.617972,10.304784,0.920239
730,f,08-Oct-13,68124,81386,17,a,SW1116,2164,1003,0.1,75,1881993,-0.342493,-1.811947,2.558214,0.935921
730,f,08-Oct-13,68124,81386,17,a,SW1116,2164,1005,6,219,1881994,6.088722,3.32784,10.311274,0.994106
730,f,08-Oct-13,68124,81386,17,a,SW1116,2164,1007,0.0125,123,1881995,-6.155196,-6.708537,-5.620312,0.68963
730,f,08-Oct-13,68124,81386,17,a,SW1116,2164,1011,2,315,1881996,5.21269,1.836087,9.733528,0.995546
730,f,08-Oct-13,68124,81386,17,a,SW1116,2164,1012,10,51,1881997,0.300021,0.031776,0.5646,0.646948
730,f,08-Oct-13,68124,81386,17,a,SW1116,2164,1013,2,99,1881998,3.885922,1.636571,8.067319,0.973983
730,f,08-Oct-13,68124,81386,17,a,SW1116,2164,1017,5,147,1881999,-2.347577,-3.187027,-1.645223,0.528123
730,f,08-Oct-13,68124,81386,17,a,SW1116,2164,1019,2,243,1882000,3.99306,1.584122,8.525587,0.983976
730,f,08-Oct-13,68124,81386,17,a,SW1116,2164,1020,5,291,1882001,4.391735,2.389627,8.653294,0.97496
730,f,08-Oct-13,68124,81386,17,a,SW1116,2164,1021,2,339,1882002,5.460107,2.293325,10.076833,0.995546
730,f,08-Oct-13,68124,81386,17,a,SW1116,2164,1023,2,32,1882003,5.081864,1.799607,9.489693,0.995546
730,f,08-Oct-13,68124,81386,17,a,SW1116,2164,1024,2,80,1882004,-0.861495,-1.557076,-0.059358,0.708581
730,f,08-Oct-13,68124,81386,17,a,SW1116,2164,1025,10,128,1882005,5.430193,3.187945,9.367642,0.968486
730,f,08-Oct-13,68124,81386,17,a,SW1116,2164,1026,1,176,1882006,2.702679,0.633966,6.474753,0.951324
730,f,08-Oct-13,68124,81386,17,a,SW1116,2164,1029,2,224,1882007,5.343747,2.333716,9.569877,0.995546
730,f,08-Oct-13,68124,81386,17,a,SW1116,2164,1030,10,272,1882008,5.400619,3.096977,9.984277,0.981678
730,f,08-Oct-13,68124,81386,17,a,SW1116,2164,1032,0.5,320,1882009,-1.976437,-2.464248,-1.490708,0.733246
730,f,08-Oct-13,68124,81386,17,a,SW1116,2164,1037,5,104,1882010,3.999043,1.920377,7.775122,0.901319
730,f,08-Oct-13,68124,81386,17,a,SW1116,2164,1038,2,152,1882011,1.401062,-0.986155,4.21203,0.839861
730,f,08-Oct-13,68124,81386,17,a,SW1116,2164,1039,10,248,1882012,6.998702,4.06583,11.408279,0.995546
730,f,08-Oct-13,68124,81386,17,a,SW1116,2164,1042,10,344,1882013,6.824144,3.469361,11.222212,0.995546
730,f,08-Oct-13,68124,81386,17,a,SW1116,2164,1046,2,85,1882014,3.159035,1.358219,6.530961,0.954405
730,f,08-Oct-13,68124,81386,17,a,SW1116,2164,1047,8,133,1882015,3.526456,1.231109,6.516212,0.87107
730,f,08-Oct-13,68124,81386,17,a,SW1116,2164,1049,2,181,1882016,2.229395,-1.339838,5.591216,0.868368
730,f,08-Oct-13,68124,81386,17,a,SW1116,2164,1050,4,229,1882017,5.957499,3.082715,10.513194,0.994935
730,f,08-Oct-13,68124,81386,17,a,SW1116,2164,1052,5,277,1882018,6.091784,3.339481,10.137449,0.995546
730,f,08-Oct-13,68124,81386,17,a,SW1116,2164,1053,4,325,1882019,3.698566,2.028248,6.58465,0.954405
730,f,08-Oct-13,68124,81386,17,a,SW1116,2164,1054,4,61,1882020,1.915451,0.787819,3.476421,0.852922
