Hugo_Symbol	Entrez_Gene_Id	M032_Pre	M032_R1	M032_R2	M032_R3	M032_R5	M032_R6
LASP1	3927	6.29540343025745	6.20536658036301	6.18490941328668	6.33454783228728	6.65636984292087	6.15230934859224
SNX11	29916	5.15546802286127	4.61872500904055	5.24622565886342	5.42755789965926	5.07473155840939	4.75490080082751
TMEM176A	55365	6.39733121685717	5.81577978561091	5.69226837390156	6.49327534573386	5.31270730086054	4.75490080082751
M6PR	4074	6.88183423368981	6.80877970624277	6.61380703611776	6.68082360807074	6.78321271918803	6.91237685142529
KLHL13	90293	3.05210379871314	2.92026136519029	2.88546166182359	3.03227131852234	3.27247250464334	2.20439665466513
CYP26B1	56603	3.51823093553456	2.20439665466513	2.20439665466513	2.20439665466513	2.74750173979235	2.20439665466513
ICA1	3382	5.89784779587061	5.48049183109682	4.98020394627829	6.41610618606293	5.59790742302145	4.75490080082751
DBNDD1	79007	3.73973916802447	2.92026136519029	2.88546166182359	3.96901012906246	3.39216893954894	2.20439665466513
ALS2	57679	5.53678270927528	5.58965494595948	5.46967345280302	5.98809803943551	5.94825139708451	6.2961319557359
CASP10	843	3.23553357106303	3.59624948756068	3.3635857343891	3.60269483174414	2.96805980835339	2.84661518011193
CFLAR	8837	5.58726751143169	6.03666495522213	5.66253089951259	6.12398185078409	5.10326761209626	5.78807275893553
TFPI	7035	5.68314161230581	6.37658087655683	5.24622565886342	6.21803959383279	5.33681572621547	4.75490080082751
NDUFAF7	55471	4.47112237825734	4.87488836546059	5.0282274096394	4.84577531680042	4.4225689852743	5.26209586377091
RBM5	10181	9.21974868848944	9.91917674072524	9.6573901582485	10.1329611083718	9.22727765002922	10.8250729424434
MTMR7	9108	2.20439665466513	2.20439665466513	2.20439665466513	2.20439665466513	2.74750173979235	2.20439665466513
SLC7A2	6542	3.23553357106303	4.10871389215343	2.88546166182359	3.03227131852234	3.84256846245073	3.71988016611992
ARF5	381	7.82601902924642	7.8621090576025	8.06383426445394	7.96193401387608	7.63507965208007	7.5639799702861
SARM1	23098	3.63459467899756	3.42072466449342	3.92018308953016	4.1170291283317	4.46837756696937	4.3390039518872
POLDIP2	26073	7.41270160085606	7.14062891269005	7.67051826748273	7.50964154086069	7.67296921196156	7.59896647267423
PLXND1	23129	8.10024992707251	9.18899295137251	8.04108342482611	8.84529785943563	8.50802730994083	7.81074587468888
AK2	204	2.8080630133522	2.20439665466513	2.20439665466513	3.3601629058611	2.74750173979235	2.84661518011193
CD38	952	3.63459467899756	2.92026136519029	2.88546166182359	3.96901012906246	3.13445734268975	2.84661518011193
FKBP4	2288	4.08513567188356	3.74704194778429	4.21217335548438	4.36931867120386	4.16571169236674	4.02397691051039
KDM1A	23028	7.28965356415258	7.16414514118192	7.4890529866736	7.09763092690668	7.46191342193494	7.76834997947026
RBM6	10180	8.08727471816664	9.44057726791515	9.05620982515223	9.51134204956129	8.2599790263415	9.74138895570321
CAMKK1	84254	3.83595925662444	4.10871389215343	3.80485336382535	4.36931867120386	4.4225689852743	3.93099723770223
RECQL	5965	6.68888306729746	6.68408538906113	6.05411127780821	5.66998030351296	6.31590193046948	5.90517801605968
CCDC132	55610	6.5817344914951	6.51126444748942	6.0767588726482	5.91497798336102	6.53795492417434	6.74735128695251
HSPB6	126393	2.20439665466513	2.20439665466513	2.20439665466513	2.20439665466513	2.74750173979235	2.20439665466513
ARHGAP33	115703	5.9564186386793	5.40272924674744	4.76938601722193	5.62470307807688	5.85189705167434	6.03408161746553
NDUFAB1	4706	7.77297766639071	7.9793498816694	8.51965267181181	7.22354669288689	7.28354673678832	7.59203679667567
PDK4	5166	3.38715415283304	5.55419499486714	5.46967345280302	6.33454783228728	5.71236011927233	3.93099723770223
SLC22A16	85413	2.8080630133522	2.20439665466513	2.20439665466513	2.20439665466513	2.74750173979235	2.20439665466513
ZMYND10	51364	3.05210379871314	2.92026136519029	3.53188173718512	3.03227131852234	2.20439665466513	2.20439665466513
ABCB5	340273	3.63459467899756	5.55419499486714	4.58667876934559	3.03227131852234	3.98224866864773	3.45950805503529
SLC25A13	10165	7.44697850927368	6.63438687706572	7.05011138101953	6.68082360807074	7.14880600192293	7.73099095386017
ST7	7982	7.54517212404351	6.76327747567295	6.82862686521168	7.14614895401342	6.61797285703619	7.44594797030712
CDC27	996	5.77294830044845	5.69100339978119	5.9597496541398	5.37364893031394	5.63709336755001	6.09441730467529
HCCS	3052	4.72392919687724	4.46974039200569	4.71118179674233	4.1170291283317	4.37510711830511	3.71988016611992
DVL2	1856	6.84113826638531	6.51126444748942	6.59827611731542	6.5181029503981	7.19513474873441	7.3257566845612
PRSS22	64063	2.8080630133522	2.20439665466513	2.20439665466513	2.20439665466513	2.20439665466513	3.10543261539053
UPF1	5976	6.8717676905203	6.92351754777164	6.89364746130024	6.7241197385718	7.10787336787636	7.13862042364215
SKAP2	8935	5.79454074076972	5.55419499486714	5.85870316128015	5.95200636933928	6.05301109445935	5.18940921236287
SLC25A5	292	4.29252250877362	3.99977108730234	4.71118179674233	3.60269483174414	4.22134931262818	4.26724651859658
CCDC109B	55013	4.9758215920411	5.40272924674744	5.3247203677589	3.96901012906246	4.59701717345462	3.45950805503529
POLR2J	5439	5.77294830044845	6.15916181389582	6.82862686521168	6.1560263563306	5.65628757903687	5.66045622267495
DHX33	56919	5.45750641641195	5.1871393251837	3.80485336382535	5.42755789965926	5.76630312432355	6.18964211094724
MEOX1	4222	2.20439665466513	2.20439665466513	2.20439665466513	3.03227131852234	2.74750173979235	2.84661518011193
THSD7A	221981	3.38715415283304	3.59624948756068	3.15902538125815	4.24937210646663	3.13445734268975	3.10543261539053
LIG3	3980	5.81581041628827	6.01085328085454	6.16392357373665	5.37364893031394	6.13707005009247	6.64378215686047
RPAP3	79657	6.11896083016317	5.84533587391493	6.30474763026044	5.42755789965926	5.73056955198049	6.17109747645655
ACSM3	6296	3.38715415283304	2.92026136519029	3.3635857343891	2.20439665466513	2.20439665466513	3.10543261539053
CIAPIN1	57019	4.81314112093738	4.54631089152221	4.44940734225704	4.1170291283317	4.37510711830511	4.85345313425425
FAM214B	80256	4.5780294521258	4.20891570601749	4.02536812991994	4.36931867120386	3.91444717323682	4.40700724148386
COPZ2	51226	7.57026501297751	7.49599928428463	7.99447558130894	7.11398597257124	7.18860693005449	6.87857361711111
PRKAR2B	5577	4.08513567188356	3.59624948756068	4.21217335548438	4.92383076462322	5.45152582668022	4.11040717257858
MSL3	10943	4.15810203211784	4.98697671387641	4.65036661687313	4.36931867120386	4.046468860313	4.3390039518872
CREBBP	1387	6.06680805599122	5.72323924567708	4.44940734225704	5.91497798336102	6.42009745607056	6.36296726265383
BZRAP1	9256	5.12134783302523	4.3018041566118	3.53188173718512	3.60269483174414	4.95432905251717	6.0544778819978
PON1	5444	2.20439665466513	2.92026136519029	2.88546166182359	2.20439665466513	2.20439665466513	2.20439665466513
GCFC2	6936	5.9371610357541	5.87429106847705	6.05411127780821	6.02329968962091	5.83518504010848	5.97108465441675
WDR54	84058	5.72875428358742	5.51782364664395	5.80535940080877	5.83790475916426	5.45152582668022	5.03158644248279
CROT	54677	5.7510230066972	6.08693008541183	4.87883647161647	5.19828022818515	5.71236011927233	5.78807275893553
ABCB4	5244	4.007621593684	3.42072466449342	2.88546166182359	3.3601629058611	3.84256846245073	2.20439665466513
KMT2E	55904	6.18566516508745	5.78559698972999	5.0282274096394	5.66998030351296	6.63729963587885	6.65714396145635
RHBDD2	57414	4.15810203211784	3.88014039241458	4.87883647161647	5.06782389947349	4.78734447800054	4.40700724148386
SOX8	30812	3.63459467899756	3.88014039241458	2.88546166182359	3.03227131852234	4.10751173597147	3.93099723770223
IBTK	25998	6.10178709634885	6.29352975114985	6.05411127780821	6.4422931508884	6.53795492417434	6.60293443510069
ZNF195	7748	3.73973916802447	2.92026136519029	4.21217335548438	3.60269483174414	3.39216893954894	3.59756164266865
MYCBP2	23077	6.70030978245537	6.77860546199034	6.51799730666131	6.49327534573386	6.4312208789182	6.99881814067174
FBXL3	26224	3.63459467899756	3.74704194778429	3.15902538125815	3.96901012906246	3.39216893954894	3.29947951962511
ITGAL	3683	4.76926518845835	4.54631089152221	4.44940734225704	5.87696236794172	4.75135625847034	3.83020558594204
PDK2	5164	5.34436010109702	5.65801867313642	4.76938601722193	5.71385760560272	5.61763580094565	4.75490080082751
ITGA3	3675	8.37750428156246	7.06768350601866	6.93129414350593	6.49327534573386	7.22733716930798	7.54257293428968
ZFX	7543	3.51823093553456	3.42072466449342	3.15902538125815	3.3601629058611	3.76599211788116	3.45950805503529
LAMP2	3920	8.28961884198137	7.53258125795933	7.33851700568566	7.3939109796985	8.12642967699164	7.22181606050445
GGNBP2	79893	5.9564186386793	6.80877970624277	6.18490941328668	6.3894322073031	6.27941609993103	6.47291937383681
ITGA2B	3674	3.73973916802447	3.20690805475602	3.15902538125815	3.96901012906246	3.84256846245073	3.29947951962511
GDE1	51573	5.58726751143169	5.32042215366359	4.82520531935446	4.67487247627882	5.42931877521128	4.98916121612808
C19orf60	55049	5.22130393488098	5.58965494595948	6.16392357373665	5.47948135335565	4.98542551217554	5.15159782720817
CRLF1	9244	3.38715415283304	3.42072466449342	2.20439665466513	3.03227131852234	2.96805980835339	3.10543261539053
OSBPL7	114881	5.81581041628827	5.95778647146862	5.88464411860805	6.12398185078409	5.88474417207043	6.57504260082137
TMEM98	26022	6.08440456733586	4.81521983748553	5.9597496541398	5.57793200611625	6.20353208966954	5.81227692078045
ABCC8	6833	2.20439665466513	2.20439665466513	2.20439665466513	2.20439665466513	2.96805980835339	2.20439665466513
CCL18	6362	3.83595925662444	4.61872500904055	5.5036976876846	6.49327534573386	5.13123029677059	3.10543261539053
CCL3	6348	3.05210379871314	3.42072466449342	3.15902538125815	3.3601629058611	3.27247250464334	2.20439665466513
SYNRG	11276	5.63601463302641	5.1871393251837	5.11955773078313	4.99769947913833	5.73056955198049	5.71288615645344
TMEM132A	54972	3.05210379871314	3.59624948756068	4.21217335548438	3.60269483174414	4.3258564686552	4.02397691051039
AP2B1	163	5.15546802286127	5.48049183109682	4.93045196190427	4.99769947913833	5.07473155840939	4.94539338908717
ZNF263	10127	2.8080630133522	3.20690805475602	3.15902538125815	3.60269483174414	3.39216893954894	3.10543261539053
CX3CL1	6376	3.23553357106303	2.20439665466513	2.20439665466513	2.20439665466513	2.20439665466513	2.20439665466513
SPATA20	64847	7.68956604324277	7.64543898713383	7.69258818462362	8.1240073370616	7.83213006222538	8.28031017081335
CACNA1G	8913	3.38715415283304	2.92026136519029	2.20439665466513	3.03227131852234	2.74750173979235	2.20439665466513
TNFRSF12A	51330	6.85142072832556	6.06201851461783	6.61380703611776	5.47948135335565	5.97897527415278	6.13327119327756
MAP3K9	4293	2.20439665466513	3.20690805475602	2.20439665466513	2.20439665466513	2.20439665466513	2.20439665466513
RALA	5898	4.5780294521258	4.38846350842153	4.44940734225704	4.24937210646663	4.67638838209482	4.19124723543371
BAIAP2L1	55971	5.12134783302523	3.42072466449342	4.02536812991994	5.47948135335565	5.45152582668022	4.75490080082751
